Resort ID,Resort Name,Continent,Country,State/Province
1,KitzSki – Kitzbühel/Kirchberg,Europe,Austria,Tyrol (Tirol)
2,Ischgl/Samnaun – Silvretta Arena,Europe,Austria,Tyrol (Tirol)
3,SkiWelt Wilder Kaiser-Brixental,Europe,Austria,Tyrol (Tirol)
4,Ski Arlberg,Europe,Austria,Tyrol (Tirol)
5,Serfaus-Fiss-Ladis,Europe,Austria,Tyrol (Tirol)
6,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,Austria,Salzburg (Salzburger Land)
7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Europe,Austria,Tyrol (Tirol)
8,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,Austria,Tyrol (Tirol)
9, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),Europe,Austria,Styria (Steiermark)
10,Sölden,Europe,Austria,Tyrol (Tirol)
11,Silvretta Montafon,Europe,Austria,Vorarlberg
12,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Europe,Austria,Tyrol (Tirol)
13, Obertauern,Europe,Austria,Salzburg (Salzburger Land)
14,Gurgl – Obergurgl-Hochgurgl,Europe,Austria,Tyrol (Tirol)
15, Hochkönig – Maria Alm/Dienten/Mühlbach,Europe,Austria,Salzburg (Salzburger Land)
16,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,Europe,Austria,Salzburg (Salzburger Land)
17,Schmittenhöhe – Zell am See,Europe,Austria,Salzburg (Salzburger Land)
18, Wildkogel – Neukirchen/Bramberg,Europe,Austria,Salzburg (Salzburger Land)
19,Kitzsteinhorn/Maiskogel – Kaprun,Europe,Austria,Salzburg (Salzburger Land)
20, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Europe,Austria,Salzburg (Salzburger Land)
21, Katschberg,Europe,Austria,Carinthia (Karnten)
22,. Turracher Höhe,Europe,Austria,Carinthia (Karnten)
23, Ski Juwel Alpbachtal Wildschönau,Europe,Austria,Tyrol (Tirol)
24,Damüls Mellau,Europe,Austria,Vorarlberg
25,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,Europe,Austria,Tyrol (Tirol)
26,Großglockner Resort Kals-Matrei,Europe,Austria,Tyrol (Tirol)
27, Nauders am Reschenpass – Bergkastel,Europe,Austria,Tyrol (Tirol)
28, Nassfeld – Hermagor,Europe,Austria,Carinthia (Karnten)
29, Kühtai,Europe,Austria,Tyrol (Tirol)
30, Stubai Glacier (Stubaier Gletscher),Europe,Austria,Tyrol (Tirol)
31, Großarltal/Dorfgastein,Europe,Austria,Salzburg (Salzburger Land)
32, Zauchensee/Flachauwinkl,Europe,Austria,Salzburg (Salzburger Land)
33,. Almenwelt Lofer,Europe,Austria,Salzburg (Salzburger Land)
34, Lermoos – Grubigstein,Europe,Austria,Tyrol (Tirol)
35, Golm,Europe,Austria,Vorarlberg
36, Hintertux Glacier (Hintertuxer Gletscher),Europe,Austria,Tyrol (Tirol)
37,. St. Johann in Tirol/Oberndorf – Harschbichl,Europe,Austria,Tyrol (Tirol)
38,. Radstadt/Altenmarkt,Europe,Austria,Salzburg (Salzburger Land)
39,Tauplitz – Bad Mitterndorf,Europe,Austria,Styria (Steiermark)
40, Hochzeiger – Jerzens,Europe,Austria,Tyrol (Tirol)
41, Dachstein West – Gosau/Russbach/Annaberg,Europe,Austria,Salzburg (Salzburger Land)
42, Galtür – Silvapark,Europe,Austria,Tyrol (Tirol)
43,. Sillian – Thurntaler (Hochpustertal),Europe,Austria,Tyrol (Tirol)
44, Hochoetz – Oetz,Europe,Austria,Tyrol (Tirol)
45,. Spieljoch – Fügen,Europe,Austria,Tyrol (Tirol)
46, Kreischberg,Europe,Austria,Styria (Steiermark)
47, Fellhorn/Kanzelwand – Oberstdorf/Riezlern,Europe,Austria,Vorarlberg
48, Hinterstoder – Höss,Europe,Austria,Upper Austria (Oberosterreich)
49,Axamer Lizum,Europe,Austria,Tyrol (Tirol)
50,. St. Jakob im Defereggental – Brunnalm,Europe,Austria,Tyrol (Tirol)
51,. Pitztal Glacier (Pitztaler Gletscher),Europe,Austria,Tyrol (Tirol)
52, Bad Kleinkirchheim,Europe,Austria,Carinthia (Karnten)
53, Riesneralm – Donnersbachwald,Europe,Austria,Styria (Steiermark)
54,. Brandnertal – Brand/Bürserberg,Europe,Austria,Vorarlberg
55,. Ehrwalder Alm – Ehrwald,Europe,Austria,Tyrol (Tirol)
56,. Schlick 2000 – Fulpmes,Europe,Austria,Tyrol (Tirol)
57, See,Europe,Austria,Tyrol (Tirol)
58, Loser – Altaussee,Europe,Austria,Styria (Steiermark)
59,Kaunertal Glacier (Kaunertaler Gletscher),Europe,Austria,Tyrol (Tirol)
60,. Filzmoos,Europe,Austria,Salzburg (Salzburger Land)
61, Ifen,Europe,Austria,Vorarlberg
62,. Christlum – Achenkirch,Europe,Austria,Tyrol (Tirol)
63,. Bergeralm – Steinach am Brenner,Europe,Austria,Tyrol (Tirol)
64, Moelltal Glacier (Mölltaler Gletscher),Europe,Austria,Carinthia (Karnten)
65,. Lachtal,Europe,Austria,Styria (Steiermark)
66, Gargellen,Europe,Austria,Vorarlberg
67,. Berwang/Bichlbach/Rinnen,Europe,Austria,Tyrol (Tirol)
68,. Rauriser Hochalmbahnen – Rauris,Europe,Austria,Salzburg (Salzburger Land)
69,. Grosseck/Speiereck – Mauterndorf/St. Michael,Europe,Austria,Salzburg (Salzburger Land)
70,. Flachauwinkl/Kleinarl (Shuttleberg),Europe,Austria,Salzburg (Salzburger Land)
71,. Gerlitzen,Europe,Austria,Carinthia (Karnten)
72, Kappl,Europe,Austria,Tyrol (Tirol)
73, Diedamskopf – Schoppernau,Europe,Austria,Vorarlberg
74,. Zettersfeld – Lienz,Europe,Austria,Tyrol (Tirol)
75,. Glungezer – Tulfes,Europe,Austria,Tyrol (Tirol)
76,. Hochficht,Europe,Austria,Upper Austria (Oberosterreich)
77,. Patscherkofel – Innsbruck-Igls,Europe,Austria,Tyrol (Tirol)
78,. Mönichkirchen/Mariensee,Europe,Austria,Lower Austria (Niederosterreich)
79,Sportgastein,Europe,Austria,Salzburg (Salzburger Land)
80,Grossglockner Heiligenblut,Europe,Austria,Carinthia (Karnten)
81,. Rosshütte – Seefeld,Europe,Austria,Tyrol (Tirol)
82, Sonnenkopf – Klösterle,Europe,Austria,Vorarlberg
83,. Hochkössen (Unterberghorn) – Kössen,Europe,Austria,Tyrol (Tirol)
84,. Vent,Europe,Austria,Tyrol (Tirol)
85, Weissee Gletscherwelt – Uttendorf,Europe,Austria,Salzburg (Salzburger Land)
86,. Werfenweng,Europe,Austria,Salzburg (Salzburger Land)
87,. Venet – Landeck/Zams/Fliess,Europe,Austria,Tyrol (Tirol)
88, Rifflsee,Europe,Austria,Tyrol (Tirol)
89,. Biberwier – Marienberg,Europe,Austria,Tyrol (Tirol)
90,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg,Europe,Austria,Vorarlberg
91,. Muttereralm – Mutters/Götzens,Europe,Austria,Tyrol (Tirol)
92,. Wurzeralm – Spital am Pyhrn,Europe,Austria,Upper Austria (Oberosterreich)
93,. Ramsau am Dachstein – Rittisberg,Europe,Austria,Styria (Steiermark)
94,. Jöchelspitze – Bach,Europe,Austria,Tyrol (Tirol)
95,. Grebenzen – St. Lambrecht,Europe,Austria,Styria (Steiermark)
96, Ankogel – Mallnitz,Europe,Austria,Carinthia (Karnten)
