Resort ID,Resort Name,Continent,Country,State/Province,Country Code,Adult Price(£)
1,KitzSki – Kitzbühel/Kirchberg,Europe,Austria,Tyrol (Tirol),AT,55.0
2,Ischgl/Samnaun – Silvretta Arena,Europe,Austria,Tyrol (Tirol),AT,53.0
3,SkiWelt Wilder Kaiser-Brixental,Europe,Austria,Tyrol (Tirol),AT,49.0
4,Ski Arlberg,Europe,Austria,Tyrol (Tirol),AT,53.0
5,Serfaus-Fiss-Ladis,Europe,Austria,Tyrol (Tirol),AT,51.0
6,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,Austria,Salzburg (Salzburger Land),AT,53.0
8,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,Austria,Tyrol (Tirol),AT,52.0
10,Sölden,Europe,Austria,Tyrol (Tirol),AT,53.0
12,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,Europe,Austria,Tyrol (Tirol),AT,52.0
14,Gurgl – Obergurgl-Hochgurgl,Europe,Austria,Tyrol (Tirol),AT,52.0
17,Schmittenhöhe – Zell am See,Europe,Austria,Salzburg (Salzburger Land),AT,51.0
18, Wildkogel – Neukirchen/Bramberg,Europe,Austria,Salzburg (Salzburger Land),AT,45.0
19,Kitzsteinhorn/Maiskogel – Kaprun,Europe,Austria,Salzburg (Salzburger Land),AT,51.0
20, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,Europe,Austria,Salzburg (Salzburger Land),AT,52.0
22,. Turracher Höhe,Europe,Austria,Carinthia (Karnten),AT,46.0
24,Damüls Mellau,Europe,Austria,Vorarlberg,AT,50.0
25,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,Europe,Austria,Tyrol (Tirol),AT,45.0
27, Nauders am Reschenpass – Bergkastel,Europe,Austria,Tyrol (Tirol),AT,41.0
28, Nassfeld – Hermagor,Europe,Austria,Carinthia (Karnten),AT,47.0
29, Kühtai,Europe,Austria,Tyrol (Tirol),AT,39.0
30, Stubai Glacier (Stubaier Gletscher),Europe,Austria,Tyrol (Tirol),AT,47.0
33,. Almenwelt Lofer,Europe,Austria,Salzburg (Salzburger Land),AT,42.0
34, Lermoos – Grubigstein,Europe,Austria,Tyrol (Tirol),AT,44.0
36, Hintertux Glacier (Hintertuxer Gletscher),Europe,Austria,Tyrol (Tirol),AT,52.0
39,Tauplitz – Bad Mitterndorf,Europe,Austria,Styria (Steiermark),AT,41.0
40, Hochzeiger – Jerzens,Europe,Austria,Tyrol (Tirol),AT,44.0
42, Galtür – Silvapark,Europe,Austria,Tyrol (Tirol),AT,40.0
44, Hochoetz – Oetz,Europe,Austria,Tyrol (Tirol),AT,39.0
47, Fellhorn/Kanzelwand – Oberstdorf/Riezlern,Europe,Austria,Vorarlberg,AT,47.0
51,. Pitztal Glacier (Pitztaler Gletscher),Europe,Austria,Tyrol (Tirol),AT,50.0
52, Bad Kleinkirchheim,Europe,Austria,Carinthia (Karnten),AT,47.0
53, Riesneralm – Donnersbachwald,Europe,Austria,Styria (Steiermark),AT,41.0
55,. Ehrwalder Alm – Ehrwald,Europe,Austria,Tyrol (Tirol),AT,44.0
58, Loser – Altaussee,Europe,Austria,Styria (Steiermark),AT,41.0
59,Kaunertal Glacier (Kaunertaler Gletscher),Europe,Austria,Tyrol (Tirol),AT,44.0
60,. Filzmoos,Europe,Austria,Salzburg (Salzburger Land),AT,43.0
61, Ifen,Europe,Austria,Vorarlberg,AT,47.0
62,. Christlum – Achenkirch,Europe,Austria,Tyrol (Tirol),AT,44.0
65,. Lachtal,Europe,Austria,Styria (Steiermark),AT,41.0
