Resort ID,NameResort
1,KitzSki – Kitzbühel/Kirchberg
2,Ischgl/Samnaun – Silvretta Arena
3,SkiWelt Wilder Kaiser-Brixental
4,Ski Arlberg
5,Serfaus-Fiss-Ladis
6,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus)
7,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal)
8,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml
9, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel)
10,Sölden
11,Silvretta Montafon
12,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm
13, Obertauern
14,Gurgl – Obergurgl-Hochgurgl
15, Hochkönig – Maria Alm/Dienten/Mühlbach
16,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf
17,Schmittenhöhe – Zell am See
18, Wildkogel – Neukirchen/Bramberg
19,Kitzsteinhorn/Maiskogel – Kaprun
20, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel
21, Katschberg
22,. Turracher Höhe
23, Ski Juwel Alpbachtal Wildschönau
24,Damüls Mellau
25,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl
26,Großglockner Resort Kals-Matrei
27, Nauders am Reschenpass – Bergkastel
28, Nassfeld – Hermagor
29, Kühtai
30, Stubai Glacier (Stubaier Gletscher)
31, Großarltal/Dorfgastein
32, Zauchensee/Flachauwinkl
33,. Almenwelt Lofer
34, Lermoos – Grubigstein
35, Golm
36, Hintertux Glacier (Hintertuxer Gletscher)
37,. St. Johann in Tirol/Oberndorf – Harschbichl
38,. Radstadt/Altenmarkt
39,Tauplitz – Bad Mitterndorf
40, Hochzeiger – Jerzens
41, Dachstein West – Gosau/Russbach/Annaberg
42, Galtür – Silvapark
43,. Sillian – Thurntaler (Hochpustertal)
44, Hochoetz – Oetz
45,. Spieljoch – Fügen
46, Kreischberg
47, Fellhorn/Kanzelwand – Oberstdorf/Riezlern
48, Hinterstoder – Höss
49,Axamer Lizum
50,. St. Jakob im Defereggental – Brunnalm
51,. Pitztal Glacier (Pitztaler Gletscher)
52, Bad Kleinkirchheim
53, Riesneralm – Donnersbachwald
54,. Brandnertal – Brand/Bürserberg
55,. Ehrwalder Alm – Ehrwald
56,. Schlick 2000 – Fulpmes
57, See
58, Loser – Altaussee
59,Kaunertal Glacier (Kaunertaler Gletscher)
60,. Filzmoos
61, Ifen
62,. Christlum – Achenkirch
63,. Bergeralm – Steinach am Brenner
64, Moelltal Glacier (Mölltaler Gletscher)
65,. Lachtal
66, Gargellen
67,. Berwang/Bichlbach/Rinnen
68,. Rauriser Hochalmbahnen – Rauris
69,. Grosseck/Speiereck – Mauterndorf/St. Michael
70,. Flachauwinkl/Kleinarl (Shuttleberg)
71,. Gerlitzen
72, Kappl
73, Diedamskopf – Schoppernau
74,. Zettersfeld – Lienz
75,. Glungezer – Tulfes
76,. Hochficht
77,. Patscherkofel – Innsbruck-Igls
78,. Mönichkirchen/Mariensee
79,Sportgastein
80,Grossglockner Heiligenblut
81,. Rosshütte – Seefeld
82, Sonnenkopf – Klösterle
83,. Hochkössen (Unterberghorn) – Kössen
84,. Vent
85, Weissee Gletscherwelt – Uttendorf
86,. Werfenweng
87,. Venet – Landeck/Zams/Fliess
88, Rifflsee
89,. Biberwier – Marienberg
90,. Walmendingerhorn/Heuberg – Mittelberg/Hirschegg
91,. Muttereralm – Mutters/Götzens
92,. Wurzeralm – Spital am Pyhrn
93,. Ramsau am Dachstein – Rittisberg
94,. Jöchelspitze – Bach
95,. Grebenzen – St. Lambrecht
96, Ankogel – Mallnitz
97,. Feuerkogel – Ebensee
98,. Fanningberg
99,. Laterns – Gapfohl
100,. Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen
101,. Monte Popolo – Eben im Pongau
102,. Hahnenkamm – Höfen/Reutte
103,goldeck-spittal-an-der-drau
104,Nordkette – Innsbruck
105,. Rangger Köpfl – Oberperfuss
106,. Zauberberg Semmering
107,. Gschwandtkopf – Seefeld
108,. Jungholz
109,stuhleck-spital-am-semmering
110,markbachjochlanerkoepfl-niederau
111,innerkrems-kremsbruecke-krems-in-kaernten
112,. Kristberg – Silbertal
113,. Reith bei Kitzbühel
114,. Schetteregg – Egg
115,. Neunerköpfle – Tannheim
116,. Füssener Jöchle – Grän
117,praebichl-vordernberg
118,petzen-feistritz-ob-bleiburg
119,kitzbueheler-horn
120,kasberg-gruenau-im-almtal
121,hoch-imst-imst
122,galsterberg-pruggern
123,. Dachstein Glacier (Dachsteingletscher)
124,. Hochstein – Lienz
125,. Karwendel Bergbahn (Zwölferkopf) – Pertisau
126,. Rofan – Maurach
127,obertilliach-golzentipp
128,karkogel-abtenau
129,hochkar-goestling
130,gemeindealpe-mitterbach-am-erlaufsee
131,gaissau-hintersee
132,buergeralpe-mariazell
133,arnoldstein-dreilaendereck
134,. Kelchsau
135,. Kellerjoch – Schwaz
136,planneralm-donnersbach
137,oetscher-lackenhof-gaming
138,klippitztoerl
139,fendels
140,boedele-schwarzenberg
141,. Burglift – Stans
142,. Heutal – Unken
143,. Tirolina (Haltjochlift) – Hinterthiersee
144,. Hohe Wand Wiese – Vienna (High Hills)
145,. Trins
146,. Alfaierlift – Gschnitz
147,. Archenstadel – Rinn
148,. Kramsach
149,. Sternstein – Bad Leonfelden
150,. Schneeberglifte – Mitterland (Thiersee)
151,aichelberglifts-karlstift-bad-grosspertholz
152,alberschwende-brueggelekopfdresslerbergtannerberg
153,almblicklifts-strallegg
154,alpe-furx-furx-zwischenwasser
155,annaberg
156,annerlbauerlifte-krieglach
157,arabichl-kirchberg-am-wechsel
158,arnreit
159,arralifts-harmanschlag-st-martin
160,aschaulift-koppl
