Resort ID,Adult,Currency
1,55.0,European Euro
2,53.0,European Euro
3,49.0,European Euro
4,53.0,European Euro
5,51.0,European Euro
6,53.0,European Euro
8,52.0,European Euro
10,53.0,European Euro
12,52.0,European Euro
14,52.0,European Euro
17,51.0,European Euro
18,45.0,European Euro
19,51.0,European Euro
20,52.0,European Euro
22,46.0,European Euro
24,50.0,European Euro
25,45.0,European Euro
27,41.0,European Euro
28,47.0,European Euro
29,39.0,European Euro
30,47.0,European Euro
33,42.0,European Euro
34,44.0,European Euro
36,52.0,European Euro
39,41.0,European Euro
40,44.0,European Euro
42,40.0,European Euro
44,39.0,European Euro
47,47.0,European Euro
51,50.0,European Euro
52,47.0,European Euro
53,41.0,European Euro
55,44.0,European Euro
58,41.0,European Euro
59,44.0,European Euro
60,43.0,European Euro
61,47.0,European Euro
62,44.0,European Euro
65,41.0,European Euro
67,43.0,European Euro
69,41.0,European Euro
71,46.0,European Euro
73,43.0,European Euro
76,39.0,European Euro
77,37.0,European Euro
79,52.0,European Euro
80,44.0,European Euro
82,42.0,European Euro
83,40.0,European Euro
85,38.0,European Euro
87,38.0,European Euro
88,39.0,European Euro
89,44.0,European Euro
90,47.0,European Euro
94,33.0,European Euro
95,35.0,European Euro
98,41.0,European Euro
99,36.0,European Euro
101,36.0,European Euro
102,36.0,European Euro
103,41.0,European Euro
106,35.0,European Euro
109,43.0,European Euro
111,39.0,European Euro
115,37.0,European Euro
116,37.0,European Euro
117,38.0,European Euro
118,32.0,European Euro
119,40.0,European Euro
120,39.0,European Euro
122,44.0,European Euro
123,48.0,European Euro
125,28.0,European Euro
127,36.0,European Euro
129,38.0,European Euro
131,36.0,European Euro
134,26.0,European Euro
135,30.0,European Euro
136,41.0,European Euro
137,38.0,European Euro
138,35.0,European Euro
139,37.0,European Euro
141,20.0,European Euro
143,18.0,European Euro
144,0.0,-
146,0.0,-
147,14.0,European Euro
148,13.0,European Euro
149,31.0,European Euro
150,18.0,European Euro
153,22.0,European Euro
154,19.0,European Euro
156,0.0,-
157,16.0,European Euro
158,9.0,European Euro
160,0.0,-
161,0.0,-
162,0.0,-
163,0.0,-
166,0.0,-
167,0.0,-
168,20.0,European Euro
169,0.0,-
170,0.0,-
171,35.0,European Euro
172,0.0,-
173,28.0,European Euro
174,14.0,European Euro
175,22.0,European Euro
177,0.0,-
178,11.0,European Euro
179,0.0,-
180,0.0,-
181,41.0,European Euro
182,0.0,-
183,0.0,-
184,0.0,-
185,32.0,European Euro
186,0.0,-
187,34.0,European Euro
188,0.0,-
189,24.0,European Euro
190,7.0,European Euro
191,0.0,-
192,0.0,-
193,9.0,European Euro
194,0.0,-
195,0.0,-
196,0.0,-
197,17.0,European Euro
199,22.0,European Euro
201,17.0,European Euro
202,47.0,European Euro
204,0.0,-
205,0.0,-
206,17.0,European Euro
207,10.0,European Euro
208,0.0,-
209,8.0,European Euro
210,20.0,European Euro
211,29.0,European Euro
212,0.0,-
213,0.0,-
214,24.0,European Euro
215,32.0,European Euro
216,25.0,European Euro
217,0.0,-
218,17.0,European Euro
219,28.0,European Euro
220,52.0,European Euro
221,33.0,European Euro
222,14.0,European Euro
223,23.0,European Euro
224,0.0,-
225,36.0,European Euro
226,0.0,-
227,9.0,European Euro
228,19.0,European Euro
229,18.0,European Euro
230,0.0,-
231,0.0,-
232,0.0,-
233,22.0,European Euro
234,36.0,European Euro
235,0.0,-
236,0.0,-
238,0.0,-
